BookID,Title,Subtitle,OriginallyPublished,PublisherID,IsRead,IsReference,IsOwned,ISBN,LoaneeFirst,LoaneeLast,Dewey,Pages,Width,Height,Depth,Weight,PrimaryLanguage,SecondaryLanguage,OriginalLanguage,Series,Volume,Format,Edition,ImageURL,IsReading,IsShipping,SpineColor,CheapestNew,CheapestUsed,EditionPublished,PublisherID,Publisher,City,State,Country,ParentCompany
12949,The Separation,,1999-01-01T00:00:00Z,19371,1,0,1,9780439070324,,,FIC,178,14,198,134,4.55,English,,English,Animorphs,32.00,Paperback,1,res/bookimages/12949.jpg,0,0,#a84830,99999999.99,99999999.99,1999-01-01T00:00:00Z,19371,Scholastic,New York,New York,USA,
12950,The Illusion,,1999-01-01T00:00:00Z,19371,1,0,1,9780439070331,,,FIC,178,14,198,134,4.62,English,,English,Animorphs,33.00,Paperback,1,res/bookimages/12950.jpg,0,0,#181818,99999999.99,99999999.99,1999-01-01T00:00:00Z,19371,Scholastic,New York,New York,USA,
12951,The Prophecy,,1999-01-01T00:00:00Z,19371,1,0,1,9780439070348,,,FIC,162,12,198,134,4.27,English,,English,Animorphs,34.00,Paperback,1,res/bookimages/12951.jpg,0,0,#301848,99999999.99,99999999.99,1999-01-01T00:00:00Z,19371,Scholastic,New York,New York,USA,
12952,The Proposal,,1999-01-01T00:00:00Z,19371,1,0,1,9780439070355,,,FIC,162,11,198,134,4.23,English,,English,Animorphs,35.00,Paperback,1,res/bookimages/12952.jpg,0,0,#183030,99999999.99,99999999.99,1999-01-01T00:00:00Z,19371,Scholastic,New York,New York,USA,
12953,The Mutation,,1999-01-01T00:00:00Z,19371,1,0,1,9780439106757,,,FIC,162,11,198,134,4.20,English,,English,Animorphs,36.00,Paperback,1,res/bookimages/12953.jpg,0,0,#181818,99999999.99,99999999.99,1999-01-01T00:00:00Z,19371,Scholastic,New York,New York,USA,
12954,The Weakness,,2000-01-01T00:00:00Z,19371,1,0,1,9780439106764,,,FIC,146,10,198,134,3.88,English,,English,Animorphs,37.00,Paperback,1,res/bookimages/12954.jpg,0,0,#784830,99999999.99,99999999.99,2000-01-01T00:00:00Z,19371,Scholastic,New York,New York,USA,
12955,The Arrival,,2000-01-01T00:00:00Z,19371,1,0,1,9780439106771,,,FIC,162,13,198,134,4.20,English,,English,Animorphs,38.00,Paperback,1,res/bookimages/12955.jpg,0,0,#000000,99999999.99,99999999.99,2000-01-01T00:00:00Z,19371,Scholastic,New York,New York,USA,
12956,The Hidden,,2000-01-01T00:00:00Z,19371,1,0,1,9780439106788,,,FIC,146,10,198,134,3.77,English,,English,Animorphs,39.00,Paperback,1,res/bookimages/12956.jpg,0,0,#181830,99999999.99,99999999.99,2000-01-01T00:00:00Z,19371,Scholastic,New York,New York,USA,
12957,The Other,,2000-01-01T00:00:00Z,19371,1,0,1,9780439106795,,,FIC,146,10,198,134,3.84,English,,English,Animorphs,40.00,Paperback,1,res/bookimages/12957.jpg,0,0,#180000,99999999.99,99999999.99,2000-01-01T00:00:00Z,19371,Scholastic,New York,New York,USA,
12958,The Familiar,,2000-01-01T00:00:00Z,19371,1,0,1,9780439115155,,,FIC,162,11,198,134,4.20,English,,English,Animorphs,41.00,Paperback,1,res/bookimages/12958.jpg,0,0,#181818,99999999.99,99999999.99,2000-01-01T00:00:00Z,19371,Scholastic,New York,New York,USA,
12959,The Journey,,2000-01-01T00:00:00Z,19371,1,0,1,9780439115162,,,FIC,162,11,198,134,4.44,English,,English,Animorphs,42.00,Paperback,1,res/bookimages/12959.jpg,0,0,#483018,99999999.99,99999999.99,2000-01-01T00:00:00Z,19371,Scholastic,New York,New York,USA,
12960,The Test,,2000-01-01T00:00:00Z,19371,1,0,1,9780439115179,,,FIC,146,10,198,134,3.84,English,,English,Animorphs,43.00,Paperback,1,res/bookimages/12960.jpg,0,0,#181818,99999999.99,99999999.99,2000-01-01T00:00:00Z,19371,Scholastic,New York,New York,USA,
12961,The Unexpected,,2000-01-01T00:00:00Z,19371,1,0,1,9780439115186,,,FIC,162,10,198,134,4.23,English,,English,Animorphs,44.00,Paperback,1,res/bookimages/12961.jpg,0,0,#483030,99999999.99,99999999.99,2000-01-01T00:00:00Z,19371,Scholastic,New York,New York,USA,
12962,The Revelation,,2000-01-01T00:00:00Z,19371,1,0,1,9780439115193,,,FIC,146,11,198,134,3.92,English,,English,Animorphs,45.00,Paperback,1,res/bookimages/12962.jpg,0,0,#484848,99999999.99,99999999.99,2000-01-01T00:00:00Z,19371,Scholastic,New York,New York,USA,
12963,The Deception,,2000-01-01T00:00:00Z,19371,1,0,1,9780439115209,,,FIC,146,11,198,134,3.99,English,,English,Animorphs,46.00,Paperback,1,res/bookimages/12963.jpg,0,0,#484848,99999999.99,99999999.99,2000-01-01T00:00:00Z,19371,Scholastic,New York,New York,USA,
12964,The Resistance,,2000-01-01T00:00:00Z,19371,1,0,1,9780439115216,,,FIC,162,11,198,134,4.13,English,,English,Animorphs,47.00,Paperback,1,res/bookimages/12964.jpg,0,0,#484830,99999999.99,99999999.99,2000-01-01T00:00:00Z,19371,Scholastic,New York,New York,USA,
12965,The Return,,2000-01-01T00:00:00Z,19371,1,0,1,9780439115223,,,FIC,162,11,198,134,4.20,English,,English,Animorphs,48.00,Paperback,1,res/bookimages/12965.jpg,0,0,#484878,99999999.99,99999999.99,2000-01-01T00:00:00Z,19371,Scholastic,New York,New York,USA,
12966,The Diversion,,2001-01-01T00:00:00Z,19371,1,0,1,9780439115230,,,FIC,178,10,198,134,4.62,English,,English,Animorphs,49.00,Paperback,1,res/bookimages/12966.jpg,0,0,#303030,99999999.99,99999999.99,2001-01-01T00:00:00Z,19371,Scholastic,New York,New York,USA,
12967,The Ultimate,,2001-01-01T00:00:00Z,19371,1,0,1,9780439115247,,,FIC,162,12,198,134,4.20,English,,English,Animorphs,50.00,Paperback,1,res/bookimages/12967.jpg,0,0,#181818,99999999.99,99999999.99,2001-01-01T00:00:00Z,19371,Scholastic,New York,New York,USA,
12968,The Absolute,,2001-01-01T00:00:00Z,19371,1,0,1,9780439115254,,,FIC,162,13,198,134,4.23,English,,English,Animorphs,51.00,Paperback,1,res/bookimages/12968.jpg,0,0,#303030,99999999.99,99999999.99,2001-01-01T00:00:00Z,19371,Scholastic,New York,New York,USA,
12969,The Sacrifice,,2001-01-01T00:00:00Z,19371,1,0,1,9780439115261,,,FIC,178,11,198,134,4.59,English,,English,Animorphs,52.00,Paperback,1,res/bookimages/12969.jpg,0,0,#181818,99999999.99,99999999.99,2001-01-01T00:00:00Z,19371,Scholastic,New York,New York,USA,
12970,The Answer,,2001-01-01T00:00:00Z,19371,1,0,1,9780439115278,,,FIC,178,12,198,134,4.59,English,,English,Animorphs,53.00,Paperback,1,res/bookimages/12970.jpg,0,0,#181818,99999999.99,99999999.99,2001-01-01T00:00:00Z,19371,Scholastic,New York,New York,USA,
12971,The Beginning,,2001-01-01T00:00:00Z,19371,1,0,1,9780439115285,,,FIC,178,12,198,134,4.62,English,,English,Animorphs,54.00,Paperback,1,res/bookimages/12971.jpg,0,0,#303030,99999999.99,99999999.99,2001-01-01T00:00:00Z,19371,Scholastic,New York,New York,USA,
12972,The First Journey,,1999-01-01T00:00:00Z,19371,1,0,1,9780439061643,,,FIC,128,9,193,134,3.49,English,,English,Animorphs: Alternamorphs,1.00,Paperback,1,res/bookimages/12972.jpg,0,0,#181818,99999999.99,99999999.99,1999-01-01T00:00:00Z,19371,Scholastic,New York,New York,USA,
12973,The Next Passage,,2000-01-01T00:00:00Z,19371,0,0,1,9780439142632,,,FIC,128,8,193,134,3.35,English,,English,Animorphs: Alternamorphs,2.00,Paperback,1,res/bookimages/12973.jpg,0,0,#183030,99999999.99,99999999.99,2000-01-01T00:00:00Z,19371,Scholastic,New York,New York,USA,
12974,The Andalite Chronicles,,1997-01-01T00:00:00Z,19371,1,0,1,9780590109710,,,FIC,138,23,193,132,8.57,English,,English,Animorphs: Chronicles,1.00,Paperback,1,res/bookimages/12974.jpg,0,0,#f0c078,99999999.99,99999999.99,1997-01-01T00:00:00Z,19371,Scholastic,New York,New York,USA,
12975,Visser,,1999-01-01T00:00:00Z,19371,1,0,1,9780439087643,,,FIC,212,20,218,149,12.56,English,,English,Animorphs: Chronicles,2.00,Hardcover,1,res/bookimages/12975.jpg,0,0,#303048,99999999.99,99999999.99,1999-01-01T00:00:00Z,19371,Scholastic,New York,New York,USA,
