BookID,FirstName,MiddleNames,LastName,Role
13170,,,Herodotus,Author
13171,,,Quintillan,Author
13171,Donald,A,Russell,Translator
13172,,,Quintillan,Author
13172,Donald,A,Russell,Translator
13173,,,Quintillan,Author
13173,Donald,A,Russell,Translator
13174,,,Quintillan,Author
13174,Donald,A,Russell,Translator
13175,W,A,Oldfather,Translator
13175,,,Epictetus,Author
13176,W,R,Paton,Translator
13176,,,Polybius,Author
13177,Wilmer,C,Wright,Translator
13177,,,Julian,Author
13178,W,R,Paton,Translator
13178,,,Polybius,Author
13179,W,R,Paton,Translator
13179,,,Polybius,Author
13180,,,Plato,Author
13180,W,"R,M",Lamb,Translator
13181,,,Xenophon,Author
13181,O,J,Todd,Translator
13181,E,C,Marchant,Translator
13182,A,T,Murray,Translator
13182,,,Homer,Author
13183,A,T,Murray,Translator
13183,,,Homer,Author
13184,,,Plato,Author
13184,R,G,Bury,Translator
13185,,,Plato,Author
13185,R,G,Bury,Translator
13186,,,Josephus,Author
13187,,,Philo,Author
13187,G,H,Whitaker,Translator
13187,F,H,Colson,Translator
13188,,,Philo,Author
13188,G,H,Whitaker,Translator
13188,F,H,Colson,Translator
13189,George,,Norlin,Translator
13189,,,Isocrates,Author
13190,P,A,Brunt,Translator
13190,,,Arrian,Author
13191,James,Houston,Baxter,Translator
13191,,,Augustine,Author
13192,R,G,Bury,Translator
13192,Sextus,,Empiricus,Author
13193,Frank,,Granger,Translator
13193,,,Vitruvius,Author
13194,Harrison,Boyd,Ash,Translator
13194,W,D,Hooper,Translator
13194,,,Cato,Author
13194,,,Varro,Author
13195,,,Philo,Author
13195,F,H,Colson,Translator
13196,R,G,Bury,Translator
13196,Sextus,,Empiricus,Author
13197,R,G,Bury,Translator
13197,Sextus,,Empiricus,Author
13198,,,Philo,Author
13198,F,H,Colson,Translator
13199,,,Aristotle,Author
13199,Harold,Percy,Cooke,Translator
13199,Hugh,,Tredennick,Translator
13200,Ivor,,Thomas,Translator
13201,Denys,L,Page,Translator
13202,,,Plato,Author
13202,Harold,North,Fowler,Translator
13203,C,H,Oldfather,Translator
13203,Diodorus,,Siculus,Author
13204,R,G,Bury,Translator
13204,Sextus,,Empiricus,Author
13205,,,Prudentius,Author
13205,H,J,Thomson,Translator
13206,,,Aristotle,Author
13206,Hugh,,Tredennick,Translator
13206,E,S,Forster,Translator
13207,,,Augustine,Author
13207,William,M,Green,Translator
13208,,,Pliny,Author
13208,D,E,Eichholz,Translator
13209,Benedict,,Einarson,Translator
13209,George,"K,K",Link,Translator
13209,,,Theophrastus,Author
13210,,,Josephus,Author
13211,,,Macrobius,Author
13211,Robert,A,Kaster,Translator
13212,J,"R,R",Tolkien,Author
13213,J,"R,R",Tolkien,Author
13214,J,"R,R",Tolkien,Author
13215,James,,Dashner,Author
13216,James,,Dashner,Author
13217,James,,Dashner,Author
13225,Cassandra,,Clare,Author
13226,Cassandra,,Clare,Author
13227,Cassandra,,Clare,Author
13228,Cassandra,,Clare,Author
13229,Cassandra,,Clare,Author
13230,Cassandra,,Clare,Author
13231,Jean,Craighead,George,Author
13232,Jean,Craighead,George,Author
13233,Jean,Craighead,George,Author
13252,Barbara,A,Mowat,Editor
13252,William,,Shakespheare,Author
13252,Paul,,Werstine,Editor
13253,Barbara,A,Mowat,Editor
13253,William,,Shakespheare,Author
13253,Paul,,Werstine,Editor
13254,Barbara,A,Mowat,Editor
13254,William,,Shakespheare,Author
13254,Paul,,Werstine,Editor
13255,Barbara,A,Mowat,Editor
13255,William,,Shakespheare,Author
13255,Paul,,Werstine,Editor
13256,Barbara,A,Mowat,Editor
13256,William,,Shakespheare,Author
13256,Paul,,Werstine,Editor
13257,Barbara,A,Mowat,Editor
13257,William,,Shakespheare,Author
13257,Paul,,Werstine,Editor
