log: 2020/12/24 00:10:24 testsvg.go:34: Creating the database
log: 2020/12/24 00:10:24 testsvg.go:41: Pinging the database
log: 2020/12/24 00:10:24 testsvg.go:168: (#615E54): 94.000000 - 14799
log: 2020/12/24 00:10:24 testsvg.go:168: (#363537): 54.000000 - 19094
log: 2020/12/24 00:10:24 testsvg.go:168: (#2A165A): 36.000000 - 20761
log: 2020/12/24 00:10:24 testsvg.go:168: (#3E7B68): 103.000000 - 20506
log: 2020/12/24 00:10:24 testsvg.go:168: (#EFEFEE): 239.000000 - 20507
log: 2020/12/24 00:10:24 testsvg.go:168: (#4B3223): 56.000000 - 14218
log: 2020/12/24 00:10:24 testsvg.go:168: (#A1B9C6): 179.000000 - 16347
log: 2020/12/24 00:10:24 testsvg.go:168: (#384678): 72.000000 - 13593
log: 2020/12/24 00:10:24 testsvg.go:168: (#887C71): 126.000000 - 20091
log: 2020/12/24 00:10:24 testsvg.go:168: (#10C900): 123.000000 - 20142
log: 2020/12/24 00:10:24 testsvg.go:168: (#977C60): 129.000000 - 21134
log: 2020/12/24 00:10:24 testsvg.go:168: (#77696F): 110.000000 - 13743
log: 2020/12/24 00:10:24 testsvg.go:168: (#A3B0B7): 173.000000 - 19095
log: 2020/12/24 00:10:24 testsvg.go:168: (#8F8B88): 140.000000 - 20146
log: 2020/12/24 00:10:24 testsvg.go:168: (#EDDEE0): 227.000000 - 14223
log: 2020/12/24 00:10:24 testsvg.go:168: (#B27DA0): 145.000000 - 20085
log: 2020/12/24 00:10:24 testsvg.go:168: (#F9F9DB): 246.000000 - 13661
log: 2020/12/24 00:10:24 testsvg.go:168: (#898577): 133.000000 - 13991
log: 2020/12/24 00:10:24 testsvg.go:168: (#FCFCF8): 252.000000 - 13771
log: 2020/12/24 00:10:24 testsvg.go:168: (#F4FAF4): 248.000000 - 16296
log: 2020/12/24 00:10:24 testsvg.go:168: (#4B291C): 50.000000 - 16514
log: 2020/12/24 00:10:24 testsvg.go:168: (#553A27): 64.000000 - 19098
log: 2020/12/24 00:10:24 testsvg.go:168: (#A0A8A7): 165.000000 - 19103
log: 2020/12/24 00:10:24 testsvg.go:168: (#8F8E85): 141.000000 - 19104
log: 2020/12/24 00:10:24 testsvg.go:168: (#6E553C): 90.000000 - 20111
log: 2020/12/24 00:10:24 testsvg.go:168: (#4A443C): 69.000000 - 21073
log: 2020/12/24 00:10:24 testsvg.go:168: (#B79A83): 160.000000 - 21588
log: 2020/12/24 00:10:24 testsvg.go:168: (#CEB386): 182.000000 - 21600
log: 2020/12/24 00:10:24 testsvg.go:168: (#BCB2A8): 180.000000 - 21586
log: 2020/12/24 00:10:24 testsvg.go:168: (#4E3229): 57.000000 - 21599
log: 2020/12/24 00:10:24 testsvg.go:168: (#C69E61): 163.000000 - 21702
log: 2020/12/24 00:10:24 testsvg.go:168: (#5F4138): 73.000000 - 21597
log: 2020/12/24 00:10:24 testsvg.go:168: (#473A34): 61.000000 - 21598
log: 2020/12/24 00:10:24 testsvg.go:168: (#47312D): 55.000000 - 21606
log: 2020/12/24 00:10:24 testsvg.go:168: (#8F5644): 101.000000 - 21589
log: 2020/12/24 00:10:24 testsvg.go:168: (#D3C4B3): 199.000000 - 21591
log: 2020/12/24 00:10:24 testsvg.go:168: (#DAB287): 185.000000 - 21587
log: 2020/12/24 00:10:24 testsvg.go:168: (#71503B): 87.000000 - 21605
log: 2020/12/24 00:10:24 testsvg.go:168: (#A5A2A7): 163.000000 - 21596
log: 2020/12/24 00:10:24 testsvg.go:168: (#877F7E): 129.000000 - 21595
log: 2020/12/24 00:10:24 testsvg.go:168: (#494029): 64.000000 - 21715
log: 2020/12/24 00:10:24 testsvg.go:168: (#B97332): 129.000000 - 21593
log: 2020/12/24 00:10:24 testsvg.go:168: (#757244): 110.000000 - 21590
log: 2020/12/24 00:10:24 testsvg.go:168: (#3D2518): 43.000000 - 21714
log: 2020/12/24 00:10:24 testsvg.go:168: (#5B3D2C): 68.000000 - 21713
log: 2020/12/24 00:10:24 testsvg.go:168: (#BF9898): 164.000000 - 21711
log: 2020/12/24 00:10:24 testsvg.go:168: (#C18A5A): 149.000000 - 21703
log: 2020/12/24 00:10:24 testsvg.go:168: (#A96E41): 123.000000 - 21710
log: 2020/12/24 00:10:24 testsvg.go:168: (#977E68): 131.000000 - 21712
log: 2020/12/24 00:10:24 testsvg.go:168: (#443F32): 63.000000 - 21708
log: 2020/12/24 00:10:24 testsvg.go:168: (#D0BC9D): 190.000000 - 21709
log: 2020/12/24 00:10:24 testsvg.go:168: (#D0C2A8): 195.000000 - 21716
log: 2020/12/24 00:10:24 testsvg.go:168: (#8B563F): 99.000000 - 21705
log: 2020/12/24 00:10:24 testsvg.go:168: (#976044): 109.000000 - 21707
log: 2020/12/24 00:10:24 testsvg.go:168: (#A67350): 126.000000 - 21704
log: 2020/12/24 00:10:24 testsvg.go:168: (#9F715D): 124.000000 - 21706
log: 2020/12/24 00:10:24 testsvg.go:168: (#C68342): 144.000000 - 21594
log: 2020/12/24 00:10:24 testsvg.go:168: (#6D5750): 93.000000 - 21608
log: 2020/12/24 00:10:24 testsvg.go:168: (#937C6A): 129.000000 - 21592
log: 2020/12/24 00:10:24 testsvg.go:168: (#D7BE9A): 193.000000 - 21604
log: 2020/12/24 00:10:24 testsvg.go:168: (#D0B590): 185.000000 - 21607
log: 2020/12/24 00:10:24 testsvg.go:168: (#BD9C83): 163.000000 - 21612
log: 2020/12/24 00:10:24 testsvg.go:168: (#A46234): 112.000000 - 21610
log: 2020/12/24 00:10:24 testsvg.go:168: (#A0A5B3): 165.000000 - 21611
log: 2020/12/24 00:10:24 testsvg.go:168: (#4C5575): 86.000000 - 21609
log: 2020/12/24 00:10:24 testsvg.go:168: (#BBB09E): 177.000000 - 21602
log: 2020/12/24 00:10:24 testsvg.go:168: (#C2A890): 173.000000 - 21603
log: 2020/12/24 00:10:24 testsvg.go:168: (#AC8466): 141.000000 - 21601
log: 2020/12/24 00:10:24 testsvg.go:168: (#C2BAAA): 187.000000 - 21671
log: 2020/12/24 00:10:24 testsvg.go:168: (#CEC0B0): 194.000000 - 21741
log: 2020/12/24 00:10:24 testsvg.go:168: (#BBC3AD): 190.000000 - 21725
log: 2020/12/24 00:10:24 testsvg.go:168: (#B0866A): 143.000000 - 21723
log: 2020/12/24 00:10:24 testsvg.go:168: (#D6BE7D): 190.000000 - 21726
log: 2020/12/24 00:10:24 testsvg.go:168: (#CD9A69): 164.000000 - 21728
log: 2020/12/24 00:10:24 testsvg.go:168: (#DAAC7A): 180.000000 - 21732
log: 2020/12/24 00:10:24 testsvg.go:168: (#D1A070): 169.000000 - 21740
log: 2020/12/24 00:10:24 testsvg.go:168: (#959387): 146.000000 - 21730
log: 2020/12/24 00:10:24 testsvg.go:168: (#C9B9A9): 188.000000 - 21729
log: 2020/12/24 00:10:24 testsvg.go:168: (#CBB692): 184.000000 - 21742
log: 2020/12/24 00:10:24 testsvg.go:168: (#D4BD70): 187.000000 - 21733
log: 2020/12/24 00:10:24 testsvg.go:168: (#3F2B27): 49.000000 - 21743
log: 2020/12/24 00:10:24 testsvg.go:168: (#403128): 52.000000 - 21731
log: 2020/12/24 00:10:24 testsvg.go:168: (#6A514E): 88.000000 - 21744
log: 2020/12/24 00:10:24 testsvg.go:168: (#543830): 63.000000 - 21724
log: 2020/12/24 00:10:24 testsvg.go:168: (#C8BFB4): 192.000000 - 21727
log: 2020/12/24 00:10:24 testsvg.go:168: (#3C3127): 51.000000 - 21746
log: 2020/12/24 00:10:24 testsvg.go:168: (#8C5C50): 105.000000 - 21745
log: 2020/12/24 00:10:24 testsvg.go:168: (#4F3538): 61.000000 - 21735
log: 2020/12/24 00:10:24 testsvg.go:168: (#2D271B): 39.000000 - 21739
log: 2020/12/24 00:10:24 testsvg.go:168: (#302C26): 45.000000 - 21738
log: 2020/12/24 00:10:24 testsvg.go:168: (#BE795B): 138.000000 - 21737
log: 2020/12/24 00:10:24 testsvg.go:168: (#BE9172): 155.000000 - 21736
log: 2020/12/24 00:10:24 testsvg.go:168: (#3F352A): 55.000000 - 21734
log: 2020/12/24 00:10:24 testsvg.go:168: (#282F41): 47.000000 - 21722
log: 2020/12/24 00:10:24 testsvg.go:168: (#C7AE86): 177.000000 - 21568
log: 2020/12/24 00:10:24 testsvg.go:168: (#CFB68E): 185.000000 - 21569
log: 2020/12/24 00:10:24 testsvg.go:168: (#C2A67D): 170.000000 - 21570
log: 2020/12/24 00:10:24 testsvg.go:168: (#C2A881): 171.000000 - 21571
log: 2020/12/24 00:10:24 testsvg.go:168: (#C8AF87): 178.000000 - 21572
log: 2020/12/24 00:10:24 testsvg.go:168: (#CAAF85): 178.000000 - 21573
log: 2020/12/24 00:10:24 testsvg.go:168: (#CAAF84): 178.000000 - 21574
log: 2020/12/24 00:10:24 testsvg.go:168: (#EAD59A): 213.000000 - 19112
log: 2020/12/24 00:10:24 testsvg.go:168: (#F9D0C3): 219.000000 - 19125
log: 2020/12/24 00:10:24 testsvg.go:168: (#A3BDD1): 184.000000 - 19122
log: 2020/12/24 00:10:24 testsvg.go:168: (#C29A70): 161.000000 - 21530
log: 2020/12/24 00:10:24 testsvg.go:168: (#362F25): 48.000000 - 21450
log: 2020/12/24 00:10:24 testsvg.go:168: (#AE604C): 117.000000 - 22228
log: 2020/12/24 00:10:24 testsvg.go:168: (#18928F): 109.000000 - 19126
log: 2020/12/24 00:10:24 testsvg.go:168: (#F7F1E5): 241.000000 - 13600
log: 2020/12/24 00:10:24 testsvg.go:168: (#A98871): 143.000000 - 20114
log: 2020/12/24 00:10:24 testsvg.go:168: (#908C76): 139.000000 - 19111
log: 2020/12/24 00:10:24 testsvg.go:168: (#E3B0A9): 190.000000 - 21334
log: 2020/12/24 00:10:24 testsvg.go:168: (#887A62): 123.000000 - 14273
log: 2020/12/24 00:10:24 testsvg.go:168: (#524338): 70.000000 - 19116
log: 2020/12/24 00:10:24 testsvg.go:168: (#CBA986): 175.000000 - 19123
log: 2020/12/24 00:10:24 testsvg.go:168: (#DEA1D0): 185.000000 - 21540
log: 2020/12/24 00:10:24 testsvg.go:168: (#D6CCAF): 204.000000 - 13432
log: 2020/12/24 00:10:24 testsvg.go:168: (#894270): 92.000000 - 20089
log: 2020/12/24 00:10:24 testsvg.go:168: (#936443): 110.000000 - 13368
log: 2020/12/24 00:10:24 testsvg.go:168: (#A8834A): 136.000000 - 19134
log: 2020/12/24 00:10:24 testsvg.go:168: (#B58E2A): 142.000000 - 20988
log: 2020/12/24 00:10:24 testsvg.go:168: (#A62A21): 78.000000 - 20239
log: 2020/12/24 00:10:24 testsvg.go:168: (#4D4950): 75.000000 - 20167
log: 2020/12/24 00:10:24 testsvg.go:168: (#55563C): 83.000000 - 20252
log: 2020/12/24 00:10:24 testsvg.go:168: (#914B5D): 98.000000 - 20160
log: 2020/12/24 00:10:24 testsvg.go:168: (#D3D0BC): 207.000000 - 13634
log: 2020/12/24 00:10:24 testsvg.go:168: (#166693): 83.000000 - 21089
log: 2020/12/24 00:10:24 testsvg.go:168: (#AC351F): 86.000000 - 21092
log: 2020/12/24 00:10:24 testsvg.go:168: (#AF2E28): 84.000000 - 21088
log: 2020/12/24 00:10:24 testsvg.go:168: (#3E7997): 107.000000 - 21091
log: 2020/12/24 00:10:24 testsvg.go:168: (#88342E): 76.000000 - 21090
log: 2020/12/24 00:10:24 testsvg.go:168: (#DAD1B8): 209.000000 - 20141
log: 2020/12/24 00:10:24 testsvg.go:168: (#BDC3C4): 193.000000 - 13751
log: 2020/12/24 00:10:24 testsvg.go:168: (#EBE9DA): 232.000000 - 13717
log: 2020/12/24 00:10:24 testsvg.go:168: (#601A2F): 49.000000 - 16625
log: 2020/12/24 00:10:24 testsvg.go:168: (#1F261D): 35.000000 - 21528
log: 2020/12/24 00:10:24 testsvg.go:168: (#F4F6F3): 245.000000 - 13556
